id,group
CHABLIS,1
Cote de Nuits,1
Cote de Beaune,1
Maconnais,1
Cote Chalonnaise,1
Fye,2
Fontenay,2
Fleys,2
La Chapelle Vaupelteigne,2
Maligny,2
Chichee,2
Poinchy,2
Chablis,2
Courgis,2
Beines,2
Bougros,3
Preuses,3
Vaudesir,3
Grenouilles,3
Valmur,3
Les Clos,3
Blanchots,3
Butteaux,3
Forets,3
Chapelot,3
Montmains,3
Vaillons,3
Berdiot,3
Montee de Tonnerre,3
Cote de Vaubarousse,3
Fourchaume,3
Fixin,2
Marsannay,2
Gevrey-Chambertin,2
Morey-Saint-Denis,2
Chambolle-Musigny,2
Vougeot,2
Vosne-Romanee,2
Flagey-Echezeaux,2
Nuits-Saint-Georges,2
Cote de Nuits Villages,2
Comblanchien,3
Corgoloin,3
Corton,2
Aloxe-Corton,2
Ladoix,2
Pernand-Vergelesses,2
Savigny-les-Beaune,2
Beaune,2
Pommard,2
Volnay,2
Monthelie,2
Auxey-Duresses,2
Saint-Romain,2
Meursault,2
Blagny,2
Puligny-Montrachet,2
Saint-Aubin,2
Chassagne-Montrachet,2
Santenay,2
Maranges,2
Bouzeron,2
Rully,2
Mercurey,2
Givry,2
Montagny,2
Corton-Charlemagne,3
Latricieres-Chambertin,3
Les Vergelesses,3
Les Marconnets,3
Aux Fourneaux,3
Les Guettes,3
Domaine Simon Bize,4
Patrick Bize,5
Chisa Bize,5
Chandon de Briaille,4
Les Bressandes,3
Clos du Roi,3
Les Marechaudes,3
Les Caillerets,3
Les Valozieres,3
Ile de Vergelesses,3
Les Basses-Vergelesses,3
Les Lavieres,3
Anne-Claude de Nicolay,5
Francois de Nicolay,5
Les Angles,3
Les Aussy,3
La Barre,3
Les Brouillards,3
Cailleret-Dessus,3
Carelle sous la Chapelle,3
En Champans,3
Les Chanlins,3
En Chevret,3
Clos de l`Audignac,3
Clos de la Bousse d`Or,3
Clos de la Cave des Ducs,3
Clos de la Chapelle,3
Clos des Chenes,3
Clos des Ducs,3
Clos des Mouches,3
Clos du Chateau des Ducs,3
Les Fremiets,3
La Gigotte,3
Les Grands Champs,3
Lassolle,3
Les Lurets,3
Les Mitans,3
En l`Ormeau,3
Pitures Dessus,3
Pointes d`Angles,3
Robardelle,3
Le Ronceret,3
Taille Pieds,3
En Verseuil,3
Le Village,3
Marquis d`Angerville,4
Pousse d`Or,4
Yvon Clerget,4
Michel Lafarge,4
Louis Jadot,4
Guillaume d`Angerville,5
Renaud de Villette,5
Les Santenots,3
Jean-Marie Raveneau,5
Frederic Drouhin,5
Domaine Raveneau,4
Joseph Drouhin,4
Les Boucheres,3
Les Caillerets ,3
Les Charmes,3
Les Cras,3
Les Genevrieres,3
Les Gouttes d`Or,3
La Jeunelotte,3
Les Perrieres,3
Les Plures,3
Les Porusots,3
Les Santenots Blancs,3
Les Santenots du Milieu,3
Sous de Dos d`Ane,3
La Piece sous le Bois,3
Clos des Mouches (village),3
Clos de la Barre,3
Les Casses Tetes,3
Les Ravelles,3
Blagny,2
Sous Blagny,3
La Barre Dessus,3
Les Grands Charrons,3
Les Petits Charrons,3
Les Chevalieres,3
Les Clous,3
Les Corbins,3
Le Cromin,3
Desiree,3
Les Forges,3
Les Gruyaches,3
Le Limozin,3
Les Luchets,3
Les Malpoiriers,3
Clos de Mazeray,3
Le Meix sous le Chateau,3
Les Meix Chavaux,3
Les Narvaux,3
En l`Ormeau (village),3
Les Rougeots,3
Les Terres Blanches,3
Le Tesson,3
Les Tillets,3
Les Vireuils,3
Michel Ampeau,4
En l`Ormeau ,3
Clos du Roi ,3
Les Combettes,3
Domaine Boisson Vadot,4
Pierre Vadot,5
Domaine Michel Bouzereau,4
Jean-Baptiste Bouzereau,5
Jean-Marie Bouzereau,5
Vicent Bouzereau,5
Domaine Jean-Marie Bouzereau,4
Domaine Vicent Bouzereau,4
Chateau de Citeaux,4
Philippe Bouzereau,5
Ez Folatieres,3
Pertuisots,3
Domaine Boyer-Martenot,4
Vicent Boyer,5
Domaine Buisson-Charles,4
Patrick Essa,5
Château de Meursault,4
Champ Canet,3
Clos des Epenots,3
Domaine Coche-Bizouard,4
Domaine Coche-Dury,4
Jean-François Coche-Dury,5
Raphaël Coche-Dury,5
Les Enseigneres,3
Vaumuriens,3
Domaine Arnaud Ente,4
Arnaud Ente,5
Benoit Ente,5
Les Referts,3
Domaine Jean-Philippe Fichet,4
Jean-Philippe Fichet,5
Reugne,3
Henri Germain & Fils,4
Jean-Francois Germain,5
Henri Germain,5
Bressandes,3
Domaine Antoine Jobard,4
Antoine Jobard,5
Bressandes,3
Morgeot,3
Chassagne-Montrachet,2
Domaine Vincent Girardin,4
Eric Germain,5
Vincent Girardin,5
Jean-Pierre Nie,5
Domaine Albert Grivault,4
Michel Bardet,5
Henri-Marc Bardet,5
Claire Bardet,5
Clos des Perrieres,3
Le Clos Blanc,3
Domaine Patrick Javillier,4
Patrick Javillier,5
En ​ Montchenevoy,3
Les Levrons,3
Les Murgers de Monthelie,3
Les Clous,3
Crotots,3
Champ Gain,3
Le Trezin,3
Remi Jobard,4
Sous La Velle,3
En Luraule,3
Vignes Rondes,3
Champs Fulliot,3
Dominique Lafon,5
Domaine des Comtes Lafon,4
Rene Lafon,5
Domaine Jean Grivot,4
Christopher Roumier,5
Marielle Bize,5
Etienne Grivot,5
Les Duresses,3
Dominique Lafon (label),4
Le Montrachet,3
Les Heritiers du Comte Lafon,4
Milly-Lamartine,2
Les Epenottes,3
Domaine Thierry & Pascale Matrot,4
Les Garennes,3
Les Chalumeaux,3
Domaine Michelot,4
Jean-François Mestre,5
Clos St-Felix,3
Francois Mikulski,4
Domaine Pierre Morey,4
Pierre Morey,5
Morey Blanc,4
Les Grands Epenots,3
Les Durots,3
Batard-Montrachet,3
Nadine Gublin,5
Domaine Jacques Prieur,4
Clos de Beze,3
Chambertin,3
Musigny,3
Clos de Vougeot,3
Chevalier-Montrachet,3
Champs Pimont,3
Clos de la Feguine,3
Greves,3
Domaine Roulot,4
Jean-Marc Roulot,5
